x1,x2,y
0.2956099169334527,0.8540410235194777,0.33333333333325416
0.6137168149223107,1.0,0.33333333333325416
0.8092469162050782,0.8166465895638091,0.3333333333339669
0.9456733735415269,0.23216995053444245,0.33333333333325416
0.7082844377584502,0.7523990739225896,-3.0
0.40920515895553355,0.0859131812446428,0.33333333333325416
0.2872334782176628,0.0,0.33333333333325416
0.7498427521125369,0.9764837483694322,0.33333333333325416
0.0,0.40536037184101076,0.33333333333325416
1.0,0.6284906429862561,0.33333333333325416
